altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,ticks,altruists,selfish,void,max_pink,max_green,max_black
0.26,0.26,0.0,0.0,0.75,0.75,9,192.0,0.0,18.0,1663.0,426.0,431.0,1663.0
0.26,0.26,0.0,0.0,0.75,1.0,0,36.0,0.0,0.0,1681.0,399.0,344.0,1681.0
0.26,0.26,0.0,0.0,0.75,1.0,1,28.0,0.0,23.0,1658.0,393.0,377.0,1658.0
0.26,0.26,0.0,0.0,0.75,1.0,2,28.0,0.0,0.0,1681.0,352.0,398.0,1681.0
0.26,0.26,0.0,0.0,0.75,1.0,3,29.0,0.0,7.0,1674.0,358.0,354.0,1674.0
0.26,0.26,0.0,0.0,0.75,1.0,4,31.0,0.0,10.0,1671.0,379.0,373.0,1671.0
0.26,0.26,0.0,0.0,0.75,1.0,5,32.0,3.0,0.0,1678.0,361.0,407.0,1678.0
0.26,0.26,0.0,0.0,0.75,1.0,6,29.0,4.0,0.0,1677.0,427.0,387.0,1677.0
0.26,0.26,0.0,0.0,0.75,1.0,7,36.0,5.0,0.0,1676.0,381.0,389.0,1676.0
0.26,0.26,0.0,0.0,0.75,1.0,8,35.0,0.0,0.0,1681.0,400.0,385.0,1681.0
0.26,0.26,0.0,0.0,0.75,1.0,9,28.0,4.0,0.0,1677.0,378.0,377.0,1677.0
0.26,0.26,0.0,0.0,1.0,0.0,0,4707.0,1288.0,0.0,393.0,1341.0,806.0,506.0
0.26,0.26,0.0,0.0,1.0,0.0,1,4993.0,0.0,1353.0,328.0,1041.0,1355.0,514.0
0.26,0.26,0.0,0.0,1.0,0.0,2,2179.0,1342.0,0.0,339.0,1356.0,691.0,524.0
0.26,0.26,0.0,0.0,1.0,0.0,3,4397.0,0.0,1314.0,367.0,1249.0,1354.0,574.0
0.26,0.26,0.0,0.0,1.0,0.0,4,2063.0,0.0,1328.0,353.0,701.0,1355.0,568.0
0.26,0.26,0.0,0.0,1.0,0.0,5,5288.0,1328.0,0.0,353.0,1359.0,1351.0,509.0
0.26,0.26,0.0,0.0,1.0,0.0,6,4814.0,1327.0,0.0,354.0,1369.0,1119.0,535.0
0.26,0.26,0.0,0.0,1.0,0.0,7,2062.0,0.0,1333.0,348.0,830.0,1353.0,561.0
0.26,0.26,0.0,0.0,1.0,0.0,8,2057.0,1321.0,0.0,360.0,1358.0,821.0,524.0
0.26,0.26,0.0,0.0,1.0,0.0,9,1143.0,1322.0,0.0,359.0,1351.0,715.0,533.0
0.26,0.26,0.0,0.0,1.0,0.25,0,1965.0,0.0,1155.0,526.0,612.0,1201.0,732.0
0.26,0.26,0.0,0.0,1.0,0.25,1,2303.0,0.0,1157.0,524.0,663.0,1200.0,713.0
0.26,0.26,0.0,0.0,1.0,0.25,2,3994.0,0.0,1198.0,483.0,1043.0,1218.0,678.0
0.26,0.26,0.0,0.0,1.0,0.25,3,2260.0,1121.0,0.0,560.0,1199.0,612.0,711.0
